authorID,name,location,reviewCount,friendCount,photoCount
jpM_fScVB4voJyx05ws4Uw,Patricia D.,"San Francisco, CA",53,24,0
8bz35w8cD3RC_tRTbM-keQ,Marcia T.,"Chicago, IL",89,67,50
SIYulDrnS9TbDVIQDlYjIA,Diane M.,"Chicago, IL",97,142,299
XKLUpW_dOvUVtnPdyDf38Q,Lihan C.,"Lisle, IL",43,511,50
1LIf1KxsMpwXSUMrEDQGog,Sara B.,"Indianapolis, IN",156,33,720
eJz_ij0PghOZnvCR084C5w,Kevin N.,"Forest Park, IL",76,10,129
gK9q-OTSYdllXTkZ2NIQfA,Adam S.,"Sunny Isles Beach, FL",871,1051,1400
vTTd3ZT34-7pkxpW1zmVIw,Anna K.,"Chicago, IL",173,879,168
nxI8n6lARJpMP5SI8U9S6w,Stephanie S.,"Indianapolis, IN",197,63,286
_xnLj_MdytIHGRpnoBBHOA,Christopher D.,"Southlake, TX",261,45,555
3z-3XUav8kaeaGSkaKOdCQ,Sandi C.,"St Charles, MO",150,28,619
n8kZb4cAu8AGaEMR4UCuqg,Emma C.,"Chicago, IL",113,88,405
XJgRdHOsgypEba4oKwAh1w,Augie R.,"Chicago, IL",738,165,113
SIQt7VG22-d3dMMKXy3gjw,Suzanne C.,"Chicago, IL",93,0,4
oaEISy8gzI8KFmbY0cVmNQ,Ilana B.,"San Francisco, CA",300,730,155
Z374Ok46YdkmWqa__9nAjA,Allie S.,"Denver, CO",605,73,198
Lsykq_u0nBAiQF6TaD-C5w,Christine N.,"Chicago, IL",120,190,57
nlqvhfFRnDCf-UAgX0a60g,Steve H.,"Chicago, IL",53,155,209
oZ4JQMwXsljri_7FEFm12w,Leslie S.,"Miami Springs, FL",131,122,373
FiZn-x6ZSoKyeskbxpvE1w,Emma B.,"Chicago, IL",121,24,181
mYUurN0VcUwdLOZaUTN0gg,Suzanne B.,"Brookfield, IL",894,396,326
GhSbIK6OPKeEbGlvg0yDPQ,Dan G.,"Chicago, IL",71,0,13
07gdGKMkho4maba0lQyoQQ,Erich C.,"Oceanside, CA",495,555,1478
D4C_M_i6lz7tWurRUaO-XA,Ashley N.,"New York, NY",238,332,433
aKN3Fq2uaRJTwZRPlI5GcQ,Alex S.,"Chicago, IL",2408,4902,6891
cR5bvpc0xeQpm-Bsx67A8w,Meg S.,"Chicago, IL",259,159,17
kwjvKdxddaxQ178UdfOAbg,Kayvan M.,"Tarzana, CA",70,504,25
DosPs0fkIbXOFWBkrB9oaA,Leah S.,"Chicago, IL",107,241,243
4ihswYBQ6NQjkwjdT3oNuw,Kelsey T.,"Chicago, IL",147,272,188
